Date,ICLN,XLE,SPY
2015-01-02,7.977171897888184,25.548063278198242,170.1250457763672
2015-01-05,7.805355548858643,24.491180419921875,167.05258178710938
2015-01-06,7.788990497589111,24.131406784057617,165.4790802001953
2015-01-07,7.862626075744629,24.18281364440918,167.5412139892578
2015-01-08,8.05080509185791,24.72569465637207,170.5142059326172
2015-01-09,8.026261329650879,24.529727935791016,169.14779663085938
2015-01-12,7.887170791625977,23.823013305664062,167.82275390625
2015-01-13,7.911717414855957,23.633481979370117,167.3507843017578
2015-01-14,7.928078651428223,23.70737648010254,166.3404083251953
2015-01-15,7.821718215942383,23.405406951904297,164.81658935546875
2015-01-16,7.887170791625977,24.166746139526367,166.97808837890625
2015-01-20,7.846264839172363,24.195650100708008,167.3341827392578
2015-01-21,7.944446086883545,24.687143325805664,168.1788330078125
2015-01-22,7.977171897888184,24.802793502807617,170.67987060546875
2015-01-23,8.009899139404297,24.62610626220703,169.74404907226562
2015-01-26,8.27989387512207,24.979473114013672,170.14154052734375
2015-01-27,8.320804595947266,24.963396072387695,167.8972930908203
2015-01-28,8.1571683883667,23.980419158935547,165.74412536621094
2015-01-29,8.214441299438477,24.06072425842285,167.2761993408203
2015-01-30,8.165349960327148,24.269533157348633,165.17276000976562
2015-02-02,8.345349311828613,25.01158905029297,167.21824645996094
2015-02-03,8.582616806030273,25.695829391479492,169.6363983154297
2015-02-04,8.54171085357666,25.271800994873047,168.99046325683594
2015-02-05,8.615345001220703,25.634798049926758,170.69638061523438
2015-02-06,8.508981704711914,25.641220092773438,170.224365234375
2015-02-09,8.525346755981445,25.666919708251953,169.46250915527344
2015-02-10,8.582616806030273,25.654069900512695,171.267822265625
2015-02-11,8.549891471862793,25.47417640686035,171.36721801757812
2015-02-12,8.705343246459961,25.808263778686523,173.0152130126953
2015-02-13,8.746252059936523,26.3543701171875,173.72743225097656
2015-02-17,8.738072395324707,26.434682846069336,174.0006561279297
2015-02-18,8.705343246459961,26.11985969543457,174.01730346679688
2015-02-19,8.631710052490234,25.997791290283203,173.89305114746094
2015-02-20,8.680800437927246,25.87251853942871,174.93650817871094
2015-02-23,8.688979148864746,25.766502380371094,174.91171264648438
2015-02-24,8.721709251403809,25.837173461914062,175.4085235595703
2015-02-25,8.901704788208008,25.9785213470459,175.25946044921875
2015-02-26,8.901704788208008,25.49666404724121,175.05245971679688
2015-02-27,8.942614555358887,25.38422393798828,174.4561767578125
2015-03-02,9.081704139709473,25.207551956176758,175.55760192871094
2015-03-03,9.188065528869629,25.300710678100586,174.83712768554688
2015-03-04,9.441699028015137,25.265365600585938,174.10008239746094
2015-03-05,9.88351058959961,25.114395141601562,174.2906036376953
2015-03-06,9.57260513305664,24.664657592773438,171.8392791748047
2015-03-09,9.466241836547852,24.487985610961914,172.5514678955078
2015-03-10,9.23715591430664,24.147462844848633,169.7523651123047
2015-03-11,9.34351921081543,24.2181339263916,169.35482788085938
2015-03-12,9.417154312133789,24.063932418823242,171.50804138183594
2015-03-13,9.269882202148438,23.97398567199707,170.4562530517578
2015-03-16,9.384427070617676,24.298442840576172,172.73365783691406
2015-03-17,9.441699028015137,24.205284118652344,172.22019958496094
2015-03-18,9.53987979888916,24.908802032470703,174.2906036376953
2015-03-19,9.490789413452148,24.513675689697266,173.4955291748047
2015-03-20,9.654420852661133,24.87428855895996,175.02696228027344
2015-03-23,9.670785903930664,24.786956787109375,174.68592834472656
2015-03-24,9.760787963867188,24.622024536132812,173.70431518554688
2015-03-25,9.605332374572754,24.94221305847168,171.15892028808594
2015-03-26,9.490789413452148,24.913097381591797,170.75135803222656
2015-03-27,9.51533317565918,24.7093448638916,171.1422882080078
2015-03-30,9.728057861328125,25.239755630493164,173.2301483154297
2015-03-31,9.703513145446777,25.090974807739258,171.71627807617188
2015-04-01,9.842602729797363,25.084510803222656,171.10902404785156
2015-04-02,9.908055305480957,25.136266708374023,171.72451782226562
2015-04-06,9.9735107421875,25.589048385620117,172.88082885742188
2015-04-07,10.006237030029297,25.605220794677734,172.42332458496094
2015-04-08,10.128962516784668,25.398231506347656,173.0055694580078
2015-04-09,10.358052253723145,25.805742263793945,173.77090454101562
2015-04-10,10.308959007263184,25.918935775756836,174.71914672851562
2015-04-13,10.349867820739746,25.660202026367188,173.928955078125
2015-04-14,10.308959007263184,26.12269401550293,174.26165771484375
2015-04-15,10.431685447692871,26.746896743774414,175.0435791015625
2015-04-16,10.488956451416016,26.685440063476562,174.99371337890625
2015-04-17,10.31714153289795,26.491382598876953,172.9806365966797
2015-04-20,10.202598571777344,26.591650009155273,174.5611114501953
2015-04-21,10.268054008483887,26.310272216796875,174.35316467285156
2015-04-22,10.41532039642334,26.48493003845215,175.20994567871094
